Universidade,Mesorregião,Município,Curso,Categoria
Unesp,Metropolitana de São Paulo,São Paulo,"Música – Habilitação em Contrabaixo, Viola, Violino, Violoncelo, Percussão, Clarineta, Flauta, Flauta Doce, Oboé, Piano, Órgão Tubular ou Violão",Humanas
Unesp,Metropolitana de São Paulo,São Paulo,Música – Habilitação em Regência Coral ou Regência Orquestral,Humanas
Unicamp,Campinas,Campinas,Música Erudita: Instrumentos,Humanas
Unicamp,Campinas,Campinas,Música Popular: Instrumentos,Humanas
Unicamp,Campinas,Campinas,Música: Composição,Humanas
Unicamp,Campinas,Campinas,Música: Regência,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Musicoterapia,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Negócios Imobiliários,Humanas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Neurociência,Biológicas
Unesp,Bauru,Botucatu,Nutrição,Saúde
USP,Metropolitana de São Paulo,São Paulo,Nutrição,Saúde
UNITAU,Vale do Paraíba Paulista,Taubaté,Nutrição,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Nutrição,Saúde
PUC-SP,Campinas,Campinas,Nutrição,Saúde
Unifesp,Metropolitana de São Paulo,Santos,Nutrição,Saúde
Unicamp,Piracicaba,Limeira,Nutrição,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Nutrição,Saúde
USP-Leste,Metropolitana de São Paulo,São Paulo,Obstetrícia,Saúde
USP,Metropolitana de São Paulo,São Paulo,Oceanografia,Exatas
Unifesp,Metropolitana de São Paulo,Santos,Oceanografia,Exatas
Unesp,Araçatuba,Araçatuba,Odontologia,Saúde
Unesp,Araraquara,Araraquara,Odontologia,Saúde
Unesp,Vale do Paraíba Paulista,São José dos Campos,Odontologia,Saúde
USP,Metropolitana de São Paulo,São Paulo,Odontologia,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Odontologia,Saúde
USP,Bauru,Bauru,Odontologia,Saúde
UNITAU,Vale do Paraíba Paulista,Taubaté,Odontologia,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Odontologia,Saúde
PUC-SP,Campinas,Campinas,Odontologia,Saúde
Unicamp,Piracicaba,Piracicaba,Odontologia,Saúde
Unesp,Araraquara,Araraquara,Pedagogia,Humanas
