Universidade,Mesorregião,Município,Curso,Categoria
Unesp,Bauru,Bauru,Ciências Biológicas,Biológicas
Unesp,Bauru,Botucatu,Ciências Biológicas,Biológicas
Unesp,Araçatuba,Ilha Solteira,Ciências Biológicas,Biológicas
Unesp,Ribeirão Preto ,Jaboticabal,Ciências Biológicas,Biológicas
Unesp,Piracicaba,Rio Claro,Ciências Biológicas,Biológicas
Unesp,São José do Rio Preto,São José do Rio Preto,Ciências Biológicas,Biológicas
USP,Metropolitana de São Paulo,São Paulo,Ciências Biológicas,Biológicas
USP,Piracicaba,Piracicaba,Ciências Biológicas,Biológicas
UFSCar,Piracicaba,Araras,Ciências Biológicas,Biológicas
UFSCar,Itapetininga,Buri,Ciências Biológicas,Biológicas
UFSCar,Araraquara,São Carlos,Ciências Biológicas,Biológicas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Ciências Biológicas,Biológicas
UFABC,Metropolitana de São Paulo,Santo André,Ciências Biológicas,Biológicas
UFABC,Metropolitana de São Paulo,Santo André,Ciências Biológicas,Biológicas
UNITAU,Vale do Paraíba Paulista,Taubaté,Ciências Biológicas,Biológicas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Ciências Biológicas,Biológicas
PUC-SP,Macro Metropolitana Paulista,Sorocaba,Ciências Biológicas,Biológicas
PUC-SP,Campinas,Campinas,Ciências Biológicas,Biológicas
Unifesp,Metropolitana de São Paulo,Diadema,Ciências Biológicas,Biológicas
Unesp,Metropolitana de São Paulo,São Vicente,Ciências Biológicas,Biológicas
Unesp,Metropolitana de São Paulo,São Vicente,Ciências Biológicas,Biológicas
Unicamp,Campinas,Campinas,Ciências Biológicas,Biológicas
Unicamp,Campinas,Campinas,Ciências Biológicas,Biológicas
PUC-SP,Campinas,Campinas,Ciências Biológicas – Licenciatura,Biológicas
Unesp,Marília,Marília,Ciências Biológicas e da Saúde,Biológicas
Unesp,Bauru,Botucatu,Ciências Biomédicas,Saúde
USP,Metropolitana de São Paulo,São Paulo,Ciências Biomédicas,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Ciências Biomédicas,Saúde
USP,Metropolitana de São Paulo,São Paulo,Ciências Contábeis,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Ciências Contábeis,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Ciências Contábeis,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Ciências Contábeis,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciências Contábeis,Humanas
PUC-SP,Campinas,Campinas,Ciências Contábeis,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Ciências Contábeis,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Ciências Contábeis,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Ciências Contábeis,Humanas
USP,Metropolitana de São Paulo,São Paulo,Ciências da Computação,Exatas
USP,Ribeirão Preto,Ribeirão Preto,Ciências da Computação,Exatas
Unesp,Piracicaba,Rio Claro,Ciências da Computação,Exatas
USP-Leste,Metropolitana de São Paulo,São Paulo,Ciências da Natureza,Exatas
Unicamp,Piracicaba,Limeira,Ciências do Esporte,Biológicas
USP,Piracicaba,Piracicaba,Ciências dos Alimentos,Biológicas
Unesp,Araraquara,Araraquara,Ciências Econômicas,Humanas
USP,Metropolitana de São Paulo,São Paulo,Ciências Econômicas,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Ciências Econômicas,Humanas
USP,Piracicaba,Piracicaba,Ciências Econômicas,Humanas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Ciências Econômicas,Humanas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Ciências Econômicas,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Ciências Econômicas,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Ciências Econômicas,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciências Econômicas,Humanas
PUC-SP,Campinas,Campinas,Ciências Econômicas,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Ciências Econômicas,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Ciências Econômicas,Humanas
Unicamp,Campinas,Campinas,Ciências Econômicas,Humanas
Unicamp,Campinas,Campinas,Ciências Econômicas,Humanas
USP,Araraquara,São Carlos,Ciências Exatas,Exatas
USP,Araraquara,São Carlos,Ciências Exatas,Exatas
USP,Araraquara,São Carlos,Ciências Exatas,Exatas
USP,Araraquara,São Carlos,Ciências Físicas,Exatas
USP,Metropolitana de São Paulo,São Paulo,Ciências Fundamentais para a Saúde,Saúde
Unifesp,Metropolitana de São Paulo,Guarulhos,Ciências Sociais,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Ciências Sociais,Humanas
Unesp,Araraquara,Araraquara,Ciências Sociais,Humanas
Unesp,Marília,Marília,Ciências Sociais,Humanas
USP,Metropolitana de São Paulo,São Paulo,Ciências Sociais,Humanas
UFSCar,Araraquara,São Carlos,Ciências Sociais,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciências Sociais,Humanas
PUC-SP,Campinas,Campinas,Ciências Sociais,Humanas
PUC-SP,Campinas,Campinas,Ciências Sociais,Humanas
Unicamp,Campinas,Campinas,Ciências Sociais,Humanas
Unicamp,Campinas,Campinas,Ciências Sociais,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Ciências Sociais,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Ciências Sociais,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Ciências Sociais,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Ciências Sociais,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciências Socioambientais,Humanas
PUC-SP,Campinas,Campinas,Cinema e Audiovisual,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Cinema e Audiovisual,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Comércio Exterior,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Comunicação das Artes do Corpo,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Comunicação e Multimeios,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Comunicação e Publicidade,Humanas
Unicamp,Campinas,Campinas,Comunicação Social – Midialogia,Humanas
Unesp,Bauru,Bauru,"Comunicação: Rádio, Televisão e Internet",Humanas
FGV,Metropolitana de São Paulo,São Paulo,"Contabilidade, Finanças e Analytics",Humanas
Unicamp,Campinas,Campinas,Curso 51 – Ingresso para: Engenharia Física/Física/Física Médica e Biomédica/ Matemática/Mat.Aplic. e Computacional (Integral),Exatas
Unicamp,Campinas,Campinas,Dança,Humanas
Unesp,Bauru,Bauru,Design,Humanas
USP,Metropolitana de São Paulo,São Paulo,Design,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Design,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Design,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Design de Animação,Humanas
PUC-SP,Campinas,Campinas,Design de Games,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Design de Interiores,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Design de Interiores,Humanas
PUC-SP,Campinas,Campinas,Design de Moda,Humanas
PUC-SP,Campinas,Campinas,Design Digital,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Design Gráfico,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Design Gráfico,Humanas
Unesp,Ribeirão Preto ,Franca,Direito,Humanas
USP,Metropolitana de São Paulo,São Paulo,Direito,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Direito,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Direito,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Direito,Humanas
USCS,Metropolitana de São Paulo,São Paulo,Direito,Humanas
FGV,Metropolitana de São Paulo,São Paulo,Direito,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Direito,Humanas
PUC-SP,Campinas,Campinas,Direito,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Direito,Humanas
Insper,Metropolitana de São Paulo,São Paulo,Direito,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Direito,Humanas
Mackenzie,Metropolitana de São Paulo,São Paulo,Direito,Humanas
Fundação Karnig Bazarian,Itapetininga,Itapetininga,Direito,Humanas
FMU,Metropolitana de São Paulo,São Paulo,Direito,Humanas
UniDrummond,Metropolitana de São Paulo,São Paulo,Direito,Humanas
Unip,Metropolitana de São Paulo,São Paulo,Direito,Humanas
Unicsul,Metropolitana de São Paulo,São Paulo,Direito,Humanas
ITE,Bauru,Bauru,Direito,Humanas
ITE,Bauru,Botucatu,Direito,Humanas
USJT,Metropolitana de São Paulo,São Paulo,Direito,Humanas
FGV,Metropolitana de São Paulo,São Paulo,Direito & Administração de Empresas,Humanas
FGV,Metropolitana de São Paulo,São Paulo,Direito & Administração Pública,Humanas
Unesp,Piracicaba,Rio Claro,Ecologia,Biológicas
FGV,Metropolitana de São Paulo,São Paulo,Economia,Humanas
Insper,Metropolitana de São Paulo,São Paulo,Economia,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Economia Empresarial e Controladoria,Humanas
USP,Metropolitana de São Paulo,São Paulo,Editoração,Humanas
UFSCar,Araraquara,São Carlos,Educação Especial,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Educação Física,Saúde
USP,Metropolitana de São Paulo,São Paulo,Educação Física,Saúde
USP,Metropolitana de São Paulo,São Paulo,Educação Física,Saúde
Unesp,Bauru,Bauru,Educação Física,Saúde
Unesp,Presidente Prudente,Presidente Prudente,Educação Física,Saúde
Unesp,Piracicaba,Rio Claro,Educação Física,Saúde
UFSCar,Araraquara,São Carlos,Educação Física,Saúde
UNITAU,Vale do Paraíba Paulista,Taubaté,Educação Física,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Educação Física,Saúde
Unifesp,Metropolitana de São Paulo,Santos,Educação Física,Saúde
PUC-SP,Campinas,Campinas,Educação Física,Saúde
PUC-SP,Campinas,Campinas,Educação Física,Saúde
Unicamp,Campinas,Campinas,Educação Física,Saúde
Unicamp,Campinas,Campinas,Educação Física,Saúde
USP,Metropolitana de São Paulo,São Paulo,Educação Física,Saúde
USP-Leste,Metropolitana de São Paulo,São Paulo,Educação Física e Saúde,Saúde
USP,Metropolitana de São Paulo,São Paulo,Educomunicação,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Eletrotécnica Industrial,Exatas
USP,Ribeirão Preto,Ribeirão Preto,Enfermagem,Saúde
USP,Metropolitana de São Paulo,São Paulo,Enfermagem,Saúde
UFSCar,Araraquara,São Carlos,Enfermagem,Saúde
UNITAU,Vale do Paraíba Paulista,Taubaté,Enfermagem,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Enfermagem,Saúde
USCS,Metropolitana de São Paulo,São Paulo,Enfermagem,Saúde
USCS,Itapetininga,Itapetininga,Enfermagem,Saúde
PUC-SP,Metropolitana de São Paulo,São Paulo,Enfermagem,Saúde
PUC-SP,Macro Metropolitana Paulista,Sorocaba,Enfermagem,Saúde
PUC-SP,Campinas,Campinas,Enfermagem,Saúde
Unifesp,Metropolitana de São Paulo,São Paulo,Enfermagem,Saúde
Unicamp,Campinas,Campinas,Enfermagem,Saúde
USP,Metropolitana de São Paulo,São Paulo,Enfermagem,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Enfermagem,Saúde
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Engenharia Aeroespacial,Exatas
Unesp,Campinas,São João da Boa Vista,Engenharia Aeronáutica,Exatas
USP,Araraquara,São Carlos,Engenharia Aeronáutica,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Engenharia Aeronáutica,Exatas
Unicamp,Campinas,Campinas,Engenharia Agrícola,Exatas
Unesp,Bauru,Botucatu,Engenharia Agronômica,Exatas
Unesp,Presidente Prudente ,Dracena,Engenharia Agronômica,Exatas
Unesp,Araçatuba,Ilha Solteira,Engenharia Agronômica,Exatas
Unesp,Ribeirão Preto ,Jaboticabal,Engenharia Agronômica,Exatas
Unesp,Litoral Sul Paulista,Registro,Engenharia Agronômica,Exatas
USP,Piracicaba,Piracicaba,Engenharia Agronômica,Exatas
UFSCar,Piracicaba,Araras,Engenharia Agronômica,Exatas
UFSCar,Itapetininga,Buri,Engenharia Agronômica,Exatas
PUC-SP,Campinas,Campinas,Engenharia Agronômica,Exatas
Unesp,Presidente Prudente,Presidente Prudente,Engenharia Ambiental,Exatas
Unesp,Piracicaba,Rio Claro,Engenharia Ambiental,Exatas
Unesp,Vale do Paraíba Paulista,São José dos Campos,Engenharia Ambiental,Exatas
Unesp,Macro Metropolitana Paulista,Sorocaba,Engenharia Ambiental,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Ambiental,Exatas
USP,Araraquara,São Carlos,Engenharia Ambiental,Exatas
USP,Vale do Paraíba Paulista,Lorena,Engenharia Ambiental,Exatas
UFSCar,Itapetininga,Buri,Engenharia Ambiental,Exatas
Unifesp,Metropolitana de São Paulo,Santos,Engenharia Ambiental,Exatas
Unicamp,Piracicaba,Limeira,Engenharia Ambiental,Exatas
PUC-SP,Campinas,Campinas,Engenharia Ambiental e Sanitária,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Engenharia Ambiental e Urbana,Exatas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Engenharia Biomédica,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Engenharia Biomédica,Exatas
PUC-SP,Campinas,Campinas,Engenharia Biomédica,Exatas
Unifesp,Vale do Paraíba Paulista,São José dos Campos,Engenharia Biomédica,Exatas
USP,Vale do Paraíba Paulista,Lorena,Engenharia Bioquímica,Exatas
Unesp,Assis,Assis,Engenharia Biotecnológica,Exatas
Unesp,Presidente Prudente,Presidente Prudente,Engenharia Cartográfica e de Agrimensura,Exatas
Unesp,Bauru,Bauru,Engenharia Civil,Exatas
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,Engenharia Civil,Exatas
Unesp,Araçatuba,Ilha Solteira,Engenharia Civil,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Civil,Exatas
USP,Araraquara,São Carlos,Engenharia Civil,Exatas
UFSCar,Araraquara,São Carlos,Engenharia Civil,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Engenharia Civil,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Engenharia Civil,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Engenharia Civil,Exatas
PUC-SP,Campinas,Campinas,Engenharia Civil,Exatas
Unicamp,Campinas,Campinas,Engenharia Civil,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia da Computação,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Engenharia da Computação,Exatas
PUC-SP,Campinas,Campinas,Engenharia da Computação,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Engenharia da Informação,Exatas
Unesp,São José do Rio Preto,São José do Rio Preto,Engenharia de Alimentos,Exatas
USP,Campinas,Pirassununga,Engenharia de Alimentos,Exatas
USP,Campinas,Pirassununga,Engenharia de Alimentos,Exatas
UFSCar,Itapetininga,Buri,Engenharia de Alimentos,Exatas
PUC-SP,Campinas,Campinas,Engenharia de Alimentos,Exatas
Unicamp,Campinas,Campinas,Engenharia de Alimentos,Exatas
Unicamp,Campinas,Campinas,Engenharia de Alimentos,Exatas
Unesp,Araraquara,Araraquara,Engenharia de Bioprocessos e Biotecnologia,Exatas
Unesp,Bauru,Botucatu,Engenharia de Bioprocessos e Biotecnologia,Exatas
Unesp,Marília,Tupã,Engenharia de Biossistemas,Exatas
USP,Araraquara,São Carlos,Engenharia de Computação,Exatas
USP,Araraquara,São Carlos,Engenharia de Computação,Exatas
UFSCar,Araraquara,São Carlos,Engenharia de Computação,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Engenharia de Computação,Exatas
Insper,Metropolitana de São Paulo,São Paulo,Engenharia de Computação,Exatas
Unifesp,Vale do Paraíba Paulista,São José dos Campos,Engenharia de Computação,Exatas
Unicamp,Campinas,Campinas,Engenharia de Computação,Exatas
Unesp,Macro Metropolitana Paulista,Sorocaba,Engenharia de Controle e Automação,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Engenharia de Controle e Automação,Exatas
PUC-SP,Campinas,Campinas,Engenharia de Controle e Automação,Exatas
Unicamp,Campinas,Campinas,Engenharia de Controle e Automação,Exatas
Unesp,Presidente Prudente ,Rosana,Engenharia de Energia,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Engenharia de Energia,Exatas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Engenharia de Gestão,Exatas
UFABC,Metropolitana de São Paulo,Santo André,"Engenharia de Instrumentação, Automação e Robótica",Exatas
Unicamp,Piracicaba,Limeira,Engenharia de Manufatura,Exatas
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,Engenharia de Materiais,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia de Materiais,Exatas
USP,Vale do Paraíba Paulista,Lorena,Engenharia de Materiais,Exatas
UFSCar,Araraquara,São Carlos,Engenharia de Materiais,Exatas
Unifesp,Vale do Paraíba Paulista,São José dos Campos,Engenharia De Materiais,Exatas
USP,Araraquara,São Carlos,Engenharia de Materiais e Manufatura,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia de Minas,Exatas
Unesp,Litoral Sul Paulista,Registro,Engenharia de Pesca,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia de Petróleo,Exatas
Unifesp,Metropolitana de São Paulo,Santos,Engenharia De Petróleo,Exatas
Unifesp,Metropolitana de São Paulo,Santos,Engenharia De Petróleo,Exatas
Unesp,Bauru,Bauru,Engenharia de Produção,Exatas
Unesp,Itapetininga,Itapeva,Engenharia de Produção,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia de Produção,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia de Produção,Exatas
USP,Araraquara,São Carlos,Engenharia de Produção,Exatas
USP,Vale do Paraíba Paulista,Lorena,Engenharia de Produção,Exatas
UFSCar,Araraquara,São Carlos,Engenharia de Produção,Exatas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Engenharia de Produção,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Engenharia de Produção,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Engenharia de Produção,Exatas
PUC-SP,Campinas,Campinas,Engenharia de Produção,Exatas
Unicamp,Piracicaba,Limeira,Engenharia de Produção,Exatas
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,Engenharia de Produção Mecânica,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Engenharia de Sistemas Ciber Físicos,Exatas
PUC-SP,Campinas,Campinas,Engenharia de Software,Exatas
Unicamp,Piracicaba,Limeira,Engenharia de Telecomunicações,Exatas
Unicamp,Piracicaba,Limeira,Engenharia de Transportes,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Engenharia dos Materiais,Exatas
Unesp,Bauru,Bauru,Engenharia Elétrica,Exatas
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,Engenharia Elétrica,Exatas
Unesp,Araçatuba,Ilha Solteira,Engenharia Elétrica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Elétrica,Exatas
UFSCar,Araraquara,São Carlos,Engenharia Elétrica,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Engenharia Elétrica,Exatas
PUC-SP,Campinas,Campinas,Engenharia Elétrica,Exatas
Unicamp,Campinas,Campinas,Engenharia Elétrica,Exatas
Unicamp,Campinas,Campinas,Engenharia Elétrica,Exatas
USP,Araraquara,São Carlos,Engenharia Elétrica - Sistemas de Energia e Automação,Exatas
USP,Araraquara,São Carlos,Engenharia Elétrica e Eletrônica,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Engenharia Elétrica e Eletrônica,Exatas
Unesp,Campinas,São João da Boa Vista,Engenharia Eletrônica e de Telecomunicações,Exatas
USP,Vale do Paraíba Paulista,Lorena,Engenharia Física,Exatas
UFSCar,Araraquara,São Carlos,Engenharia Física,Exatas
Unesp,Bauru,Botucatu,Engenharia Florestal,Exatas
USP,Piracicaba,Piracicaba,Engenharia Florestal,Exatas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Engenharia Florestal,Exatas
Unesp,Itapetininga,Itapeva,Engenharia Industrial Madeireira,Exatas
Unesp,Bauru,Bauru,Engenharia Mecânica,Exatas
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,Engenharia Mecânica,Exatas
Unesp,Araçatuba,Ilha Solteira,Engenharia Mecânica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Mecânica,Exatas
USP,Araraquara,São Carlos,Engenharia Mecânica,Exatas
UFSCar,Araraquara,São Carlos,Engenharia Mecânica,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Engenharia Mecânica,Exatas
PUC-SP,Campinas,Campinas,Engenharia Mecânica,Exatas
Insper,Metropolitana de São Paulo,São Paulo,Engenharia Mecânica,Exatas
Unicamp,Campinas,Campinas,Engenharia Mecânica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Mecatrônica,Exatas
USP,Araraquara,São Carlos,Engenharia Mecatrônica,Exatas
Insper,Metropolitana de São Paulo,São Paulo,Engenharia Mecatrônica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Metalúrgica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Naval,Exatas
Unesp,Araraquara,Araraquara,Engenharia Química,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Química,Exatas
USP,Metropolitana de São Paulo,São Paulo,Engenharia Química,Exatas
USP,Vale do Paraíba Paulista,Lorena,Engenharia Química,Exatas
UFSCar,Araraquara,São Carlos,Engenharia Química,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Engenharia Química,Exatas
PUC-SP,Campinas,Campinas,Engenharia Química,Exatas
Unifesp,Metropolitana de São Paulo,Diadema,Engenharia Química,Exatas
Unifesp,Metropolitana de São Paulo,Diadema,Engenharia Química,Exatas
Unicamp,Campinas,Campinas,Engenharia Química,Exatas
Unicamp,Campinas,Campinas,Engenharia Química,Exatas
USP,Metropolitana de São Paulo,São Paulo,Estatística,Exatas
Unesp,Presidente Prudente,Presidente Prudente,Estatística,Exatas
UFSCar,Araraquara,São Carlos,Estatística,Exatas
Unicamp,Campinas,Campinas,Estatística,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Estatística e Ciência de Dados,Exatas
USP,Araraquara,São Carlos,Estatística e Ciência de Dados,Exatas
UNITAU,Vale do Paraíba Paulista,Taubaté,Estética e Cosmética,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Estética e Cosmetologia,Saúde
Unicamp,Campinas,Campinas,Estudos Literários,Humanas
Unesp,Araraquara,Araraquara,Farmácia,Saúde
USP,Metropolitana de São Paulo,São Paulo,Farmácia,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Farmácia,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Farmácia,Saúde
PUC-SP,Campinas,Campinas,Farmácia,Saúde
Unifesp,Metropolitana de São Paulo,Diadema,Farmácia,Saúde
Unifesp,Metropolitana de São Paulo,Diadema,Farmácia,Saúde
Unicamp,Campinas,Campinas,Farmácia,Saúde
Unifesp,Metropolitana de São Paulo,Guarulhos,Filosofia,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Filosofia,Humanas
Unesp,Marília,Marília,Filosofia,Humanas
USP,Metropolitana de São Paulo,São Paulo,Filosofia,Humanas
UFSCar,Araraquara,São Carlos,Filosofia,Humanas
UFABC,Metropolitana de São Paulo,São Bernardo do Campo,Filosofia,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Filosofia,Humanas
PUC-SP,Campinas,Campinas,Filosofia,Humanas
Unicamp,Campinas,Campinas,Filosofia,Humanas
Unifesp,Metropolitana de São Paulo,Guarulhos,Filosofia,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Finanças e Negócios,Humanas
USP,Metropolitana de São Paulo,São Paulo,Física,Exatas
Unesp,Bauru,Bauru,Física,Exatas
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,Física,Exatas
Unesp,Presidente Prudente,Presidente Prudente,Física,Exatas
Unesp,Piracicaba,Rio Claro,Física,Exatas
Unesp,São José do Rio Preto,São José do Rio Preto,Física,Exatas
USP,Araraquara,São Carlos,Física,Exatas
UFSCar,Piracicaba,Araras,Física,Exatas
UFSCar,Araraquara,São Carlos,Física,Exatas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Física,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Física,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Física,Exatas
Unesp,Araçatuba,Ilha Solteira,Física,Exatas
USP,Metropolitana de São Paulo,São Paulo,Física,Exatas
Unicamp,Campinas,Campinas,Física,Exatas
USP,Araraquara,São Carlos,Física Computacional,Exatas
USP,Ribeirão Preto,Ribeirão Preto,Física Médica,Exatas
Unesp,Bauru,Botucatu,Física Médica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Física Médica,Exatas
USP,Metropolitana de São Paulo,São Paulo,Física Médica,Exatas
Unesp,Marília,Marília,Fisioterapia,Saúde
Unesp,Presidente Prudente,Presidente Prudente,Fisioterapia,Saúde
USP,Metropolitana de São Paulo,São Paulo,Fisioterapia,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Fisioterapia,Saúde
UFSCar,Araraquara,São Carlos,Fisioterapia,Saúde
UNITAU,Vale do Paraíba Paulista,Taubaté,Fisioterapia,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Fisioterapia,Saúde
PUC-SP,Metropolitana de São Paulo,São Paulo,Fisioterapia,Saúde
PUC-SP,Campinas,Campinas,Fisioterapia,Saúde
Unifesp,Metropolitana de São Paulo,Santos,Fisioterapia,Saúde
Unesp,Marília,Marília,Fonoaudiologia,Saúde
USP,Metropolitana de São Paulo,São Paulo,Fonoaudiologia,Saúde
USP,Ribeirão Preto,Ribeirão Preto,Fonoaudiologia,Saúde
USP,Bauru,Bauru,Fonoaudiologia,Saúde
UNITAU,Vale do Paraíba Paulista,Taubaté,Fonoaudiologia,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Fonoaudiologia,Saúde
PUC-SP,Metropolitana de São Paulo,São Paulo,Fonoaudiologia,Saúde
PUC-SP,Campinas,Campinas,Fonoaudiologia,Saúde
Unifesp,Metropolitana de São Paulo,São Paulo,Fonoaudiologia,Saúde
Unicamp,Campinas,Campinas,Fonoaudiologia,Saúde
