Mesorregião,Município,Administração_Pública,Agricultura,Comércio,Industria,Serviços,Total
SÃO JOSÉ DO RIO PRETO,MIRASSOL,1224,184,3835,7201,3803,16247
SÃO JOSÉ DO RIO PRETO,MIRASSOLÂNDIA,209,238,74,418,103,1042
SÃO JOSÉ DO RIO PRETO,NOVA ALIANÇA,284,96,202,1018,69,1669
SÃO JOSÉ DO RIO PRETO,NOVA GRANADA,541,523,814,342,683,2903
SÃO JOSÉ DO RIO PRETO,OLÍMPIA,1498,530,3590,5353,5964,16935
SÃO JOSÉ DO RIO PRETO,ONDA VERDE,277,439,146,1415,88,2365
SÃO JOSÉ DO RIO PRETO,ORINDIÚVA,343,302,131,2109,292,3177
SÃO JOSÉ DO RIO PRETO,PALESTINA,387,1316,295,581,118,2697
SÃO JOSÉ DO RIO PRETO,PAULO DE FARIA,373,245,106,49,204,977
SÃO JOSÉ DO RIO PRETO,PLANALTO,328,1578,62,310,46,2324
SÃO JOSÉ DO RIO PRETO,POTIRENDABA,580,126,586,2490,820,4602
SÃO JOSÉ DO RIO PRETO,SÃO JOSÉ DO RIO PRETO,6225,604,39564,27634,66487,140514
SÃO JOSÉ DO RIO PRETO,TANABI,672,268,1038,2650,910,5538
SÃO JOSÉ DO RIO PRETO,UBARANA,291,120,104,816,31,1362
SÃO JOSÉ DO RIO PRETO,UCHOA,385,103,240,480,180,1388
SÃO JOSÉ DO RIO PRETO,ZACARIAS,245,217,37,112,37,648
SÃO JOSÉ DO RIO PRETO,ARIRANHA,419,433,199,1452,172,2675
SÃO JOSÉ DO RIO PRETO,CAJOBI,581,371,243,94,251,1540
SÃO JOSÉ DO RIO PRETO,CATANDUVA,2665,705,9298,10882,15996,39546
SÃO JOSÉ DO RIO PRETO,CATIGUÁ,237,132,208,15,105,697
SÃO JOSÉ DO RIO PRETO,ELISIÁRIO,181,156,65,36,55,493
SÃO JOSÉ DO RIO PRETO,EMBAÚBA,213,34,42,55,7,351
SÃO JOSÉ DO RIO PRETO,NOVAIS,226,80,22,11,42,381
SÃO JOSÉ DO RIO PRETO,PALMARES PAULISTA,342,67,204,36,101,750
SÃO JOSÉ DO RIO PRETO,PARAÍSO,287,91,153,1183,96,1810
